sample	cluster
SRR6113731	1
SRR6113732	1
SRR6113733	1
SRR6113734	1
SRR6113735	1
SRR6113736	1
SRR6113737	1
SRR6113738	4
SRR6113739	4
SRR6113740	4
SRR6113741	4
SRR6113742	4
SRR6113743	4
SRR6113744	4
SRR6113745	4
SRR6113746	1
SRR6113748	1
SRR6113749	1
SRR6113750	1
SRR6113751	1
SRR6113752	1
SRR6113753	1
SRR6113754	1
SRR6113755	1
SRR6113756	1
SRR6113757	1
SRR6113758	1
SRR6113759	1
SRR6113760	1
SRR6113761	1
SRR6113762	1
SRR6113763	1
SRR6113764	1
SRR6113765	1
SRR6113766	1
SRR6113767	1
SRR6113768	1
SRR6113769	1
SRR6113770	1
SRR6113772	1
SRR6113773	1
SRR6113774	1
SRR6113776	1
SRR6113777	1
SRR6113778	1
SRR6113779	1
SRR6113780	1
SRR6113782	1
SRR6113783	1
SRR6113784	1
SRR6113785	1
SRR6113786	1
SRR6113787	1
SRR6113788	1
SRR6113790	1
SRR6113792	1
SRR6113793	1
SRR6113794	3
SRR6113795	3
SRR6113796	3
SRR6113797	3
SRR6113798	3
SRR6113799	3
SRR6113800	3
SRR6113801	3
SRR6113803	1
SRR6113804	1
SRR6113805	1
SRR6113806	1
SRR6113807	1
SRR6113810	1
SRR6113811	1
SRR6113812	1
SRR6113813	1
SRR6113815	1
SRR6113816	1
SRR6113817	1
SRR6113818	1
SRR6113819	1
SRR6113820	1
SRR6113822	1
SRR6113824	1
SRR6113825	1
SRR6113826	3
SRR6113827	3
SRR6113828	3
SRR6113829	3
SRR6113830	3
SRR6113831	3
SRR6113832	3
SRR6113833	3
SRR6113834	1
SRR6113835	1
SRR6113836	1
SRR6113837	1
SRR6113838	1
SRR6113839	1
SRR6113840	1
SRR6113841	1
SRR6113842	9
SRR6113843	9
SRR6113844	9
SRR6113845	9
SRR6113846	9
SRR6113847	9
SRR6113848	9
SRR6113849	9
SRR6113850	2
SRR6113851	2
SRR6113852	2
SRR6113853	2
SRR6113854	2
SRR6113855	2
SRR6113856	2
SRR6113857	2
SRR6113858	2
SRR6113859	2
SRR6113861	2
SRR6113862	2
SRR6113863	2
SRR6113864	2
SRR6113865	2
SRR6113866	7
SRR6113867	7
SRR6113868	7
SRR6113869	7
SRR6113870	7
SRR6113871	7
SRR6113872	7
