	gmm	gmm_gmm_genes10	gmm_gmm_genes100	gmm_gmm_genes1000	gmm_gmm_genes10000	gmm_gmm_k10	gmm_gmm_k2	gmm_gmm_k4	gmm_gmm_k6	gmm_gmm_k8	kmeans	kmeans_kmeans_genes10	kmeans_kmeans_genes100	kmeans_kmeans_genes1000	kmeans_kmeans_genes10000	kmeans_kmeans_k10	kmeans_kmeans_k2	kmeans_kmeans_k4	kmeans_kmeans_k6	kmeans_kmeans_k8	spectral	spectral_spectral_genes10	spectral_spectral_genes100	spectral_spectral_genes1000	spectral_spectral_genes10000	spectral_spectral_k10	spectral_spectral_k2	spectral_spectral_k4	spectral_spectral_k6	spectral_spectral_k8
kmeans	4.78526875357754e-289	5.02413854845058e-116	2.8275578672213844e-135	1.9136808571111653e-244	4.7852687535769955e-289	0.0	1.165104050466315e-96	2.916228752025203e-206	4.7852687535769955e-289	0.0	1	5.420287732104189e-117	2.976220381349264e-119	0.0	0.0	0.0	1.165104050466315e-96	5.166693103496543e-260	0.0	0.0	1.688915171317829e-193	1.5837710243322566e-127	3.673259416738015e-152	8.178979984779007e-219	1.688915171317829e-193	2.4569300012619344e-307	8.24304532791558e-19	1.6813977953405293e-144	1.688915171317829e-193	9.410079259301104e-185
kmeans_kmeans_genes10	6.255767411970954e-124	0.0	2.0809347784996755e-109	1.017477605244935e-120	6.255767411970954e-124	1.8337695520069943e-125	3.7266345040885766e-102	4.3769640043765533e-94	6.255767411970954e-124	9.067552651331812e-125	5.420287732104189e-117	1	2.1611293066996098e-193	5.836633850447669e-127	5.420287732104189e-117	2.068280980441775e-121	3.7266345040885766e-102	1.5612331438344297e-89	5.420287732104189e-117	9.067552651331812e-125	1.649865371340746e-88	2.091898923741825e-288	6.59592822812357e-196	3.490195262881735e-96	1.649865371340746e-88	2.5014036846004572e-95	7.167466741068788e-05	1.9905074408894058e-46	1.649865371340746e-88	1.1124885243419386e-72
kmeans_kmeans_genes100	3.684110726651182e-111	7.537736581977395e-104	1.1511560037849615e-296	1.572414010444314e-123	3.684110726651182e-111	8.67449169025679e-141	3.7266345040885766e-102	7.239792423224539e-101	3.684110726651182e-111	7.311880090973828e-138	2.976220381349264e-119	2.1611293066996098e-193	1	2.4560641663150137e-130	2.976220381349264e-119	3.6637202946141295e-136	3.7266345040885766e-102	2.2371651546251527e-94	2.976220381349264e-119	7.311880090973828e-138	6.638617909229502e-100	9.175741622626226e-98	1.5225464159083e-311	3.956152207143486e-80	6.638617909229502e-100	5.161405257457194e-101	0.00013028550174887867	8.288668595050327e-32	6.638617909229502e-100	1.5937315978278637e-93
kmeans_kmeans_genes1000	0.0	1.158025240884091e-126	2.3012324589602295e-120	2.6313023743856086e-278	0.0	0.0	3.7266345040885766e-102	2.1904611120300032e-284	0.0	0.0	0.0	5.836633850447669e-127	2.4560641663150137e-130	1	0.0	0.0	3.7266345040885766e-102	5.8781192154348375e-232	0.0	0.0	6.456882386306862e-204	1.2907626394301623e-118	9.164206542574369e-212	5.469584310972539e-243	6.456882386306862e-204	1.0581686328456784e-254	1.5697456122819891e-40	4.813745587550728e-153	6.456882386306862e-204	1.85067345034427e-199
kmeans_kmeans_genes10000	4.78526875357754e-289	5.0241385484508656e-116	2.8275578672213844e-135	1.9136808571109474e-244	4.78526875357754e-289	0.0	1.165104050466315e-96	2.916228752025369e-206	4.78526875357754e-289	0.0	0.0	5.420287732104189e-117	2.976220381349264e-119	0.0	1	0.0	1.165104050466315e-96	5.166693103496543e-260	0.0	0.0	1.688915171317829e-193	1.5837710243322566e-127	3.673259416738015e-152	8.178979984779007e-219	1.688915171317829e-193	2.4569300012622146e-307	8.24304532791558e-19	1.6813977953405293e-144	1.688915171317829e-193	9.410079259301104e-185
kmeans_kmeans_k10	0.0	2.0535389440102265e-129	2.858953258031038e-136	0.0	0.0	0.0	2.504735726230281e-98	1.6771081068328374e-235	0.0	0.0	0.0	2.068280980441775e-121	3.6637202946141295e-136	0.0	0.0	1	2.504735726230281e-98	7.5603463626982895e-289	0.0	0.0	0.0	2.0932759372835357e-138	3.6904658382461696e-162	0.0	0.0	0.0	2.5047357262304245e-98	2.05962084524546e-233	0.0	0.0
kmeans_kmeans_k2	3.726634504088365e-102	3.7266345040885766e-102	3.726634504088364e-102	3.726634504088364e-102	3.726634504088364e-102	2.5047357262303527e-98	3.5205860161037074e-106	2.652487889660992e-98	3.726634504088365e-102	3.614927863297828e-100	1.165104050466315e-96	3.7266345040885766e-102	3.7266345040885766e-102	3.7266345040885766e-102	1.165104050466315e-96	2.504735726230281e-98	1	2.6524878896610678e-98	1.165104050466315e-96	3.614927863297931e-100	4.48788477851589e-67	3.7266345040885766e-102	3.726634504088364e-102	1.142663643610596e-80	4.4878847785158906e-67	1.7404482809337822e-78	3.4500163823899684e-06	7.184515923252747e-33	4.4878847785158906e-67	5.236907936923293e-47
kmeans_kmeans_k4	2.2890525203208233e-239	2.387549348143979e-94	6.410851444851573e-108	1.2078335706932644e-212	2.2890525203208233e-239	2.9980856241485865e-265	2.6524878896610678e-98	2.435923340026697e-252	2.2890525203208233e-239	1.5033245646003207e-270	5.166693103496543e-260	1.5612331438344297e-89	2.2371651546251527e-94	5.8781192154348375e-232	5.166693103496543e-260	7.5603463626982895e-289	2.6524878896610678e-98	1	5.166693103496543e-260	1.5033245646003207e-270	6.402747534308489e-107	8.066370982616557e-91	5.487631943646942e-144	1.5046659785417716e-134	6.402747534308489e-107	5.767319698292817e-220	2.8668761813226106e-36	3.717572796721786e-97	6.402747534308489e-107	7.778893308223853e-81
kmeans_kmeans_k6	4.78526875357754e-289	5.02413854845058e-116	2.8275578672213844e-135	1.9136808571111653e-244	4.7852687535769955e-289	0.0	1.165104050466315e-96	2.916228752025369e-206	4.78526875357754e-289	0.0	0.0	5.420287732104189e-117	2.976220381349264e-119	0.0	0.0	0.0	1.165104050466315e-96	5.166693103496543e-260	1	0.0	1.688915171317829e-193	1.5837710243322566e-127	3.673259416738015e-152	8.178979984779007e-219	1.688915171317829e-193	2.4569300012619344e-307	8.24304532791558e-19	1.6813977953405293e-144	1.688915171317829e-193	9.410079259301104e-185
kmeans_kmeans_k8	0.0	4.893857432821982e-125	9.626731689224084e-146	5.366502132182911e-293	0.0	0.0	3.614927863297931e-100	4.991310685783798e-217	0.0	0.0	0.0	9.067552651331812e-125	7.311880090973828e-138	0.0	0.0	0.0	3.614927863297931e-100	1.5033245646003207e-270	0.0	1	6.151519598221976e-262	1.1022659336266868e-134	1.4501279047984114e-158	5.505482523210469e-270	6.151519598221976e-262	0.0	1.0524254109152209e-50	5.1866622707055175e-188	6.151519598221976e-262	1.6940633483988796e-265
spectral	1.0996857718950578e-203	4.774156963399232e-100	2.639220899827154e-91	5.824529985591743e-206	1.0996857718949324e-203	3.762537090499472e-301	4.48788477851589e-67	1.3996814584536242e-104	1.0996857718949324e-203	6.151519598221976e-262	1.688915171317829e-193	1.649865371340746e-88	6.638617909229502e-100	6.456882386306862e-204	1.688915171317829e-193	0.0	4.48788477851589e-67	6.402747534308489e-107	1.688915171317829e-193	6.151519598221976e-262	1	1.946467764323092e-95	8.881579088629568e-89	1.2777484309274107e-239	0.0	0.0	3.726634504088364e-102	1.3231681705867973e-202	0.0	0.0
spectral_spectral_genes10	1.1545379255620765e-120	1.4059550483265831e-260	8.986059369789922e-114	1.9176512533017042e-122	1.1545379255620765e-120	1.9857883039047635e-149	3.7266345040885766e-102	7.779926217259697e-92	1.1545379255620765e-120	1.1022659336266868e-134	1.5837710243322566e-127	2.091898923741825e-288	9.175741622626226e-98	1.2907626394301623e-118	1.5837710243322566e-127	2.0932759372835357e-138	3.7266345040885766e-102	8.066370982616557e-91	1.5837710243322566e-127	1.1022659336266868e-134	1.946467764323092e-95	1	8.934928449294288e-101	1.8094091373603436e-141	1.946467764323092e-95	4.7623965617085266e-119	1.1774368316438252e-09	6.276108754071147e-62	1.946467764323092e-95	1.594484372017392e-82
spectral_spectral_genes100	1.028117308698927e-199	1.9690878158977775e-108	6.4021414032176445e-217	6.005388169719072e-131	1.028117308698927e-199	5.86844157059591e-159	3.726634504088364e-102	8.642185717033365e-197	1.028117308698927e-199	1.4501279047984114e-158	3.673259416738015e-152	6.59592822812357e-196	1.5225464159083e-311	9.164206542574369e-212	3.673259416738015e-152	3.6904658382461696e-162	3.726634504088364e-102	5.487631943646942e-144	3.673259416738015e-152	1.4501279047984114e-158	8.881579088629568e-89	8.934928449294288e-101	1	5.355721673377787e-82	8.881579088629568e-89	4.380893910904949e-123	1.1502221509504565e-08	8.11185480462299e-36	8.881579088629568e-89	2.895724633182795e-71
spectral_spectral_genes1000	4.7602412587097584e-231	1.251804150751052e-113	2.629355697609165e-81	8.95381479402989e-224	4.7602412587097584e-231	1.2579078902174603e-299	1.142663643610596e-80	9.469444320726225e-132	4.7602412587097584e-231	5.505482523210469e-270	8.178979984779007e-219	3.490195262881735e-96	3.956152207143486e-80	5.469584310972539e-243	8.178979984779007e-219	0.0	1.142663643610596e-80	1.5046659785417716e-134	8.178979984779007e-219	5.505482523210469e-270	1.2777484309274107e-239	1.8094091373603436e-141	5.355721673377787e-82	1	1.2777484309274107e-239	0.0	3.726634504088364e-102	2.601121408571994e-196	1.2777484309274107e-239	0.0
spectral_spectral_genes10000	1.0996857718950578e-203	4.774156963399504e-100	2.6392208998270793e-91	5.824529985591082e-206	1.0996857718950578e-203	3.762537090499472e-301	4.4878847785158906e-67	1.3996814584536242e-104	1.0996857718950578e-203	6.151519598221976e-262	1.688915171317829e-193	1.649865371340746e-88	6.638617909229502e-100	6.456882386306862e-204	1.688915171317829e-193	0.0	4.4878847785158906e-67	6.402747534308489e-107	1.688915171317829e-193	6.151519598221976e-262	0.0	1.946467764323092e-95	8.881579088629568e-89	1.2777484309274107e-239	1	0.0	3.726634504088364e-102	1.3231681705867973e-202	0.0	0.0
spectral_spectral_k10	3.1825591450193837e-236	5.105943396864924e-121	1.8569299944624708e-105	1.7276990333409648e-230	3.1825591450193837e-236	0.0	1.7404482809337822e-78	9.35421353747113e-174	3.1825591450193837e-236	0.0	2.4569300012619344e-307	2.5014036846004572e-95	5.161405257457194e-101	1.0581686328456784e-254	2.4569300012622146e-307	0.0	1.7404482809337822e-78	5.767319698292817e-220	2.4569300012619344e-307	0.0	0.0	4.7623965617085266e-119	4.380893910904949e-123	0.0	0.0	1	2.50473572623021e-98	1.528038736630464e-167	0.0	0.0
spectral_spectral_k2	1.5697456122819663e-40	2.7832116735259043e-12	8.201238646277983e-06	1.5697456122819663e-40	1.5697456122820112e-40	3.819024517769718e-49	3.4500163823899684e-06	2.8668761813226106e-36	1.5697456122819663e-40	1.0524254109152209e-50	8.24304532791558e-19	7.167466741068788e-05	0.00013028550174887867	1.5697456122819891e-40	8.24304532791558e-19	2.5047357262304245e-98	3.4500163823899684e-06	2.8668761813226106e-36	8.24304532791558e-19	1.0524254109152209e-50	3.726634504088364e-102	1.1774368316438252e-09	1.1502221509504565e-08	3.726634504088364e-102	3.726634504088364e-102	2.50473572623021e-98	1	2.3051151855596903e-104	3.726634504088364e-102	3.614927863297828e-100
spectral_spectral_k4	3.9091582524417067e-160	6.637276742772339e-55	4.5596265594683425e-30	2.637337160922554e-152	3.9091582524417067e-160	3.727375568751854e-183	7.184515923252747e-33	2.6845386986381208e-95	3.9091582524417067e-160	5.1866622707055175e-188	1.6813977953405293e-144	1.9905074408894058e-46	8.288668595050327e-32	4.813745587550728e-153	1.6813977953405293e-144	2.05962084524546e-233	7.184515923252747e-33	3.717572796721786e-97	1.6813977953405293e-144	5.1866622707055175e-188	1.3231681705867973e-202	6.276108754071147e-62	8.11185480462299e-36	2.601121408571994e-196	1.3231681705867973e-202	1.528038736630464e-167	2.3051151855596903e-104	1	1.3231681705867973e-202	1.6922515694477292e-133
spectral_spectral_k6	1.0996857718950578e-203	4.774156963399232e-100	2.639220899827154e-91	5.824529985591743e-206	1.0996857718949324e-203	3.762537090499472e-301	4.4878847785158906e-67	1.3996814584536242e-104	1.0996857718950578e-203	6.151519598221976e-262	1.688915171317829e-193	1.649865371340746e-88	6.638617909229502e-100	6.456882386306862e-204	1.688915171317829e-193	0.0	4.4878847785158906e-67	6.402747534308489e-107	1.688915171317829e-193	6.151519598221976e-262	0.0	1.946467764323092e-95	8.881579088629568e-89	1.2777484309274107e-239	0.0	0.0	3.726634504088364e-102	1.3231681705867973e-202	1	0.0
spectral_spectral_k8	2.5027838439336137e-179	5.281273124320355e-85	1.2258390601395653e-78	1.6169681004274361e-190	2.5027838439336137e-179	0.0	5.236907936923293e-47	1.0994890487904366e-78	2.5027838439336137e-179	1.6940633483988796e-265	9.410079259301104e-185	1.1124885243419386e-72	1.5937315978278637e-93	1.85067345034427e-199	9.410079259301104e-185	0.0	5.236907936923293e-47	7.778893308223853e-81	9.410079259301104e-185	1.6940633483988796e-265	0.0	1.594484372017392e-82	2.895724633182795e-71	0.0	0.0	0.0	3.614927863297828e-100	1.6922515694477292e-133	0.0	1
