method1	method2	chi2	p_value	significant	contingency_shape
spectral	kmeans_kmeans_k4	546.9650454029402	6.402747534308489e-107	True	(6, 4)
spectral	kmeans_kmeans_k6	993.1045873516462	1.688915171317829e-193	True	(6, 6)
spectral	kmeans_kmeans_k8	1353.8886763300557	6.151519598221976e-262	True	(6, 8)
spectral	spectral_spectral_k10	1686.0775576480678	0.0	True	(6, 10)
spectral	spectral_spectral_k2	483.00000000000006	3.726634504088364e-102	True	(6, 2)
spectral	spectral_spectral_k4	995.3714245455827	1.3231681705867973e-202	True	(6, 4)
spectral	spectral_spectral_k6	2415.0	0.0	True	(6, 6)
spectral	spectral_spectral_k8	1768.4001257555474	0.0	True	(6, 8)
spectral	gmm_gmm_genes10000	1041.0977212686305	1.0996857718949324e-203	True	(6, 6)
spectral	gmm_gmm_genes1000	1051.814204785114	5.824529985591743e-206	True	(6, 6)
spectral	gmm_gmm_genes100	507.0698088452207	2.639220899827154e-91	True	(6, 6)
spectral	gmm_gmm_genes10	549.1576094332867	4.774156963399232e-100	True	(6, 6)
spectral	kmeans_kmeans_genes10000	993.1045873516462	1.688915171317829e-193	True	(6, 6)
spectral	kmeans_kmeans_genes1000	1042.1866441772993	6.456882386306862e-204	True	(6, 6)
spectral	kmeans_kmeans_genes100	548.4695081242435	6.638617909229502e-100	True	(6, 6)
spectral	kmeans_kmeans_genes10	493.5761083455587	1.649865371340746e-88	True	(6, 6)
spectral	spectral_spectral_genes10000	2415.0	0.0	True	(6, 6)
spectral	spectral_spectral_genes1000	1210.0360362225197	1.2777484309274107e-239	True	(6, 6)
spectral	spectral_spectral_genes100	494.87489517819705	8.881579088629568e-89	True	(6, 6)
spectral	spectral_spectral_genes10	526.9817640769564	1.946467764323092e-95	True	(6, 6)
gmm_gmm_k10	gmm_gmm_k2	483.0	2.5047357262303527e-98	True	(10, 2)
gmm_gmm_k10	gmm_gmm_k4	1087.9394315362056	5.352805212150501e-212	True	(10, 4)
gmm_gmm_k10	gmm_gmm_k6	1800.8249995510391	0.0	True	(10, 6)
gmm_gmm_k10	gmm_gmm_k8	3381.0	0.0	True	(10, 8)
gmm_gmm_k10	kmeans_kmeans_k10	3497.2199692536824	0.0	True	(10, 10)
gmm_gmm_k10	kmeans_kmeans_k2	483.0	2.5047357262303527e-98	True	(10, 2)
gmm_gmm_k10	kmeans_kmeans_k4	1338.3426573426573	2.9980856241485865e-265	True	(10, 4)
gmm_gmm_k10	kmeans_kmeans_k6	2414.9999999999995	0.0	True	(10, 6)
gmm_gmm_k10	kmeans_kmeans_k8	3381.0	0.0	True	(10, 8)
gmm_gmm_k10	spectral_spectral_k10	2162.512692983095	0.0	True	(10, 10)
gmm_gmm_k10	spectral_spectral_k2	251.97504456327985	3.819024517769718e-49	True	(10, 2)
gmm_gmm_k10	spectral_spectral_k4	951.7773000611137	3.727375568751854e-183	True	(10, 4)
gmm_gmm_k10	spectral_spectral_k6	1576.5240298654091	3.762537090499472e-301	True	(10, 6)
gmm_gmm_k10	spectral_spectral_k8	1746.1759319834136	0.0	True	(10, 8)
gmm_gmm_k10	gmm_gmm_genes10000	1800.8249995510391	0.0	True	(10, 6)
gmm_gmm_k10	gmm_gmm_genes1000	1649.9780518471428	0.0	True	(10, 6)
gmm_gmm_k10	gmm_gmm_genes100	854.7445240850572	4.0012316454686675e-150	True	(10, 6)
gmm_gmm_k10	gmm_gmm_genes10	742.847514023919	3.92321897803077e-127	True	(10, 6)
gmm_gmm_k10	kmeans_kmeans_genes10000	2414.9999999999995	0.0	True	(10, 6)
gmm_gmm_k10	kmeans_kmeans_genes1000	1802.7151346186067	0.0	True	(10, 6)
gmm_gmm_k10	kmeans_kmeans_genes100	809.4131278166043	8.67449169025679e-141	True	(10, 6)
gmm_gmm_k10	kmeans_kmeans_genes10	734.6844727210348	1.8337695520069943e-125	True	(10, 6)
gmm_gmm_k10	spectral_spectral_genes10000	1576.5240298654091	3.762537090499472e-301	True	(10, 6)
gmm_gmm_k10	spectral_spectral_genes1000	1569.3079623239623	1.2579078902174603e-299	True	(10, 6)
gmm_gmm_k10	spectral_spectral_genes100	897.5198676625091	5.86844157059591e-159	True	(10, 6)
gmm_gmm_k10	spectral_spectral_genes10	851.3708894019154	1.9857883039047635e-149	True	(10, 6)
gmm_gmm_k2	gmm_gmm_k4	455.0288412017167	2.6524878896610678e-98	True	(2, 4)
gmm_gmm_k2	gmm_gmm_k6	483.00000000000006	3.726634504088364e-102	True	(2, 6)
gmm_gmm_k2	gmm_gmm_k8	483.0	3.614927863297931e-100	True	(2, 8)
gmm_gmm_k2	kmeans_kmeans_k10	483.00000000000006	2.504735726230281e-98	True	(2, 10)
gmm_gmm_k2	kmeans_kmeans_k2	479.0033407568384	3.5205860161037074e-106	True	(2, 2)
gmm_gmm_k2	kmeans_kmeans_k4	455.0288412017167	2.6524878896610678e-98	True	(2, 4)
gmm_gmm_k2	kmeans_kmeans_k6	457.5325533179267	1.165104050466315e-96	True	(2, 6)
gmm_gmm_k2	kmeans_kmeans_k8	483.0	3.614927863297931e-100	True	(2, 8)
gmm_gmm_k2	spectral_spectral_k10	390.1369931958547	1.7404482809337822e-78	True	(2, 10)
gmm_gmm_k2	spectral_spectral_k2	21.54844871875789	3.4500163823899684e-06	True	(2, 2)
gmm_gmm_k2	spectral_spectral_k4	152.61608098326016	7.184515923252747e-33	True	(2, 4)
gmm_gmm_k2	spectral_spectral_k6	320.2205699570815	4.4878847785158906e-67	True	(2, 6)
gmm_gmm_k2	spectral_spectral_k8	234.5958897564507	5.236907936923293e-47	True	(2, 8)
gmm_gmm_k2	gmm_gmm_genes10000	483.00000000000006	3.726634504088364e-102	True	(2, 6)
gmm_gmm_k2	gmm_gmm_genes1000	483.00000000000006	3.726634504088364e-102	True	(2, 6)
gmm_gmm_k2	gmm_gmm_genes100	483.00000000000006	3.726634504088364e-102	True	(2, 6)
gmm_gmm_k2	gmm_gmm_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
gmm_gmm_k2	kmeans_kmeans_genes10000	457.5325533179267	1.165104050466315e-96	True	(2, 6)
gmm_gmm_k2	kmeans_kmeans_genes1000	483.0	3.7266345040885766e-102	True	(2, 6)
gmm_gmm_k2	kmeans_kmeans_genes100	483.0	3.7266345040885766e-102	True	(2, 6)
gmm_gmm_k2	kmeans_kmeans_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
gmm_gmm_k2	spectral_spectral_genes10000	320.2205699570815	4.4878847785158906e-67	True	(2, 6)
gmm_gmm_k2	spectral_spectral_genes1000	383.3606425193406	1.142663643610596e-80	True	(2, 6)
gmm_gmm_k2	spectral_spectral_genes100	483.00000000000006	3.726634504088364e-102	True	(2, 6)
gmm_gmm_k2	spectral_spectral_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
gmm_gmm_k4	gmm_gmm_k6	1409.4301075268818	1.549225574074097e-291	True	(4, 6)
gmm_gmm_k4	gmm_gmm_k8	1087.9394315362058	4.991310685783798e-217	True	(4, 8)
gmm_gmm_k4	kmeans_kmeans_k10	1198.5967741935483	1.6771081068328374e-235	True	(4, 10)
gmm_gmm_k4	kmeans_kmeans_k2	455.0288412017168	2.652487889660992e-98	True	(4, 2)
gmm_gmm_k4	kmeans_kmeans_k4	1198.5967741935483	2.435923340026697e-252	True	(4, 4)
gmm_gmm_k4	kmeans_kmeans_k6	1012.4320683111954	2.916228752025369e-206	True	(4, 6)
