sample	cluster
SRR6113361	5
SRR6113362	5
SRR6113363	5
SRR6113364	5
SRR6113365	5
SRR6113367	5
SRR6113368	5
SRR6113369	1
SRR6113372	1
SRR6113373	1
SRR6113374	1
SRR6113375	1
SRR6113377	0
SRR6113378	0
SRR6113379	0
SRR6113380	0
SRR6113381	0
SRR6113382	0
SRR6113383	0
SRR6113384	0
SRR6113385	0
SRR6113386	0
SRR6113387	0
SRR6113388	0
SRR6113389	0
SRR6113390	0
SRR6113391	0
SRR6113392	0
SRR6113393	0
SRR6113394	0
SRR6113395	0
SRR6113396	0
SRR6113397	0
SRR6113398	0
SRR6113399	0
SRR6113400	0
SRR6113401	0
SRR6113402	0
SRR6113403	0
SRR6113404	0
SRR6113405	0
SRR6113406	0
SRR6113407	0
SRR6113408	0
SRR6113410	0
SRR6113411	0
SRR6113412	0
SRR6113413	0
SRR6113414	0
SRR6113415	0
SRR6113416	0
SRR6113417	0
SRR6113418	0
SRR6113419	0
SRR6113420	0
SRR6113421	0
SRR6113422	0
SRR6113423	0
SRR6113424	0
SRR6113425	0
SRR6113426	0
SRR6113427	0
SRR6113428	0
SRR6113429	0
SRR6113430	0
SRR6113431	0
SRR6113432	0
SRR6113433	0
SRR6113434	0
SRR6113435	0
SRR6113437	0
SRR6113438	0
SRR6113439	0
SRR6113440	0
SRR6113441	0
SRR6113442	0
SRR6113443	0
SRR6113444	0
SRR6113446	0
SRR6113447	0
SRR6113448	0
SRR6113449	0
SRR6113450	0
SRR6113451	0
SRR6113452	0
SRR6113453	0
SRR6113454	0
SRR6113455	0
SRR6113456	0
SRR6113457	1
SRR6113458	1
SRR6113459	1
SRR6113460	1
SRR6113461	1
SRR6113462	1
SRR6113463	1
SRR6113464	1
SRR6113465	0
SRR6113466	0
SRR6113467	0
SRR6113468	0
SRR6113469	0
SRR6113470	0
SRR6113471	0
SRR6113472	0
SRR6113473	0
SRR6113474	0
SRR6113475	0
SRR6113476	0
SRR6113477	0
SRR6113478	0
SRR6113479	0
SRR6113480	0
SRR6113481	0
SRR6113482	0
SRR6113483	0
SRR6113484	0
SRR6113485	0
SRR6113486	0
SRR6113487	0
SRR6113488	0
SRR6113489	1
SRR6113490	1
SRR6113491	1
SRR6113492	1
SRR6113493	1
SRR6113494	1
SRR6113495	1
SRR6113496	1
SRR6113497	1
SRR6113498	1
SRR6113499	1
SRR6113500	1
SRR6113501	1
SRR6113502	1
SRR6113503	1
SRR6113504	1
SRR6113505	1
SRR6113506	1
SRR6113507	1
SRR6113508	1
SRR6113509	1
SRR6113510	1
SRR6113511	1
SRR6113512	1
SRR6113513	1
SRR6113514	1
SRR6113515	1
SRR6113516	1
SRR6113517	1
SRR6113518	1
SRR6113519	1
SRR6113520	1
SRR6113521	1
SRR6113522	1
SRR6113523	1
SRR6113524	1
SRR6113525	1
SRR6113526	1
SRR6113527	1
SRR6113528	1
SRR6113529	5
SRR6113530	5
SRR6113531	5
SRR6113532	5
SRR6113533	5
SRR6113534	5
SRR6113535	5
SRR6113536	5
SRR6113537	5
SRR6113538	5
SRR6113539	5
SRR6113540	5
SRR6113541	5
SRR6113542	5
SRR6113543	5
SRR6113544	5
SRR6113545	2
SRR6113546	2
SRR6113547	2
SRR6113548	2
SRR6113549	2
SRR6113550	2
SRR6113551	2
SRR6113552	2
SRR6113553	3
SRR6113554	3
SRR6113555	3
SRR6113556	3
SRR6113557	3
SRR6113558	3
SRR6113559	3
SRR6113560	3
SRR6113561	3
SRR6113562	3
SRR6113563	3
SRR6113564	3
SRR6113565	3
SRR6113566	3
SRR6113567	3
SRR6113568	3
SRR6113569	4
SRR6113570	4
SRR6113571	4
SRR6113572	4
SRR6113573	4
SRR6113574	4
SRR6113575	4
SRR6113576	4
SRR6113577	4
SRR6113578	4
SRR6113579	4
SRR6113580	4
SRR6113581	4
SRR6113582	4
SRR6113583	4
SRR6113584	4
SRR6113585	4
SRR6113586	4
SRR6113587	4
SRR6113588	4
SRR6113589	4
SRR6113590	4
SRR6113591	4
SRR6113592	4
SRR6113593	4
SRR6113594	4
SRR6113595	4
SRR6113596	4
SRR6113597	4
SRR6113598	4
SRR6113599	4
SRR6113600	4
SRR6113601	1
SRR6113602	1
SRR6113603	1
SRR6113604	1
SRR6113605	1
SRR6113606	1
SRR6113607	1
SRR6113608	1
SRR6113609	3
SRR6113610	3
SRR6113611	3
SRR6113612	3
SRR6113613	3
SRR6113614	3
SRR6113615	3
SRR6113616	3
SRR6113617	0
SRR6113618	0
SRR6113619	0
SRR6113620	0
SRR6113621	0
SRR6113622	0
SRR6113624	0
SRR6113625	0
SRR6113626	0
SRR6113627	0
SRR6113628	0
SRR6113629	0
SRR6113630	0
SRR6113631	0
SRR6113632	0
SRR6113633	0
SRR6113634	2
SRR6113635	2
SRR6113636	2
SRR6113637	2
SRR6113638	2
SRR6113639	2
SRR6113640	2
SRR6113641	2
SRR6113642	0
SRR6113643	0
SRR6113644	0
SRR6113645	0
SRR6113646	0
SRR6113647	0
SRR6113648	0
SRR6113649	0
SRR6113650	2
SRR6113651	2
SRR6113652	2
SRR6113653	2
SRR6113654	2
SRR6113655	2
SRR6113656	2
SRR6113657	2
SRR6113658	0
SRR6113659	0
SRR6113660	0
SRR6113661	0
SRR6113662	0
SRR6113663	0
SRR6113664	0
SRR6113665	0
SRR6113666	0
SRR6113667	0
SRR6113668	0
SRR6113669	0
SRR6113670	0
SRR6113671	0
SRR6113672	0
SRR6113673	0
SRR6113674	2
SRR6113675	2
SRR6113677	2
SRR6113678	2
SRR6113679	2
SRR6113680	2
SRR6113681	2
SRR6113682	1
SRR6113683	1
SRR6113684	1
SRR6113685	1
SRR6113687	1
SRR6113688	1
SRR6113689	1
SRR6113690	1
SRR6113691	1
SRR6113692	1
SRR6113693	1
SRR6113694	1
SRR6113695	1
SRR6113696	1
SRR6113697	1
SRR6113699	2
SRR6113701	2
SRR6113703	2
SRR6113704	2
SRR6113705	2
SRR6113708	2
SRR6113709	2
SRR6113710	2
SRR6113711	2
SRR6113712	2
SRR6113714	2
SRR6113715	2
SRR6113716	2
SRR6113717	2
SRR6113718	2
SRR6113719	2
SRR6113720	2
SRR6113721	2
SRR6113722	2
SRR6113723	2
SRR6113724	2
SRR6113725	2
SRR6113726	2
SRR6113727	2
SRR6113728	2
SRR6113729	2
SRR6113730	2
SRR6113731	2
SRR6113732	2
SRR6113733	2
SRR6113734	2
SRR6113735	2
SRR6113736	2
SRR6113737	2
SRR6113738	5
SRR6113739	5
SRR6113740	5
SRR6113741	5
SRR6113742	5
SRR6113743	5
SRR6113744	5
SRR6113745	5
SRR6113746	2
SRR6113748	2
SRR6113749	2
SRR6113750	2
SRR6113751	2
SRR6113752	2
SRR6113753	2
SRR6113754	2
SRR6113755	2
SRR6113756	2
SRR6113757	2
SRR6113758	2
SRR6113759	2
SRR6113760	2
SRR6113761	2
SRR6113762	2
SRR6113763	2
SRR6113764	2
SRR6113765	2
SRR6113766	2
SRR6113767	2
SRR6113768	2
SRR6113769	2
SRR6113770	2
SRR6113772	2
SRR6113773	2
SRR6113774	2
SRR6113776	2
SRR6113777	2
SRR6113778	2
SRR6113779	2
SRR6113780	2
SRR6113782	2
SRR6113783	2
SRR6113784	2
SRR6113785	2
SRR6113786	2
SRR6113787	2
SRR6113788	2
SRR6113790	2
SRR6113792	2
SRR6113793	2
SRR6113794	2
SRR6113795	2
SRR6113796	2
SRR6113797	2
SRR6113798	2
SRR6113799	2
SRR6113800	2
SRR6113801	2
SRR6113803	2
SRR6113804	2
SRR6113805	2
SRR6113806	2
SRR6113807	2
SRR6113810	2
SRR6113811	2
SRR6113812	2
SRR6113813	2
SRR6113815	2
SRR6113816	2
SRR6113817	2
SRR6113818	2
SRR6113819	2
SRR6113820	2
SRR6113822	2
SRR6113824	2
SRR6113825	2
SRR6113826	2
SRR6113827	2
SRR6113828	2
SRR6113829	2
SRR6113830	2
SRR6113831	2
SRR6113832	2
SRR6113833	2
SRR6113834	2
SRR6113835	2
SRR6113836	2
SRR6113837	2
SRR6113838	2
SRR6113839	2
SRR6113840	2
SRR6113841	2
SRR6113842	2
SRR6113843	2
SRR6113844	2
SRR6113845	2
SRR6113846	2
SRR6113847	2
SRR6113848	2
SRR6113849	2
SRR6113850	0
SRR6113851	0
SRR6113852	0
SRR6113853	0
SRR6113854	0
SRR6113855	0
SRR6113856	0
SRR6113857	0
SRR6113858	0
SRR6113859	0
SRR6113861	0
SRR6113862	0
SRR6113863	0
SRR6113864	0
SRR6113865	0
SRR6113866	0
SRR6113867	0
SRR6113868	0
SRR6113869	0
SRR6113870	0
SRR6113871	0
SRR6113872	0
