sample	cluster
SRR6113361	3
SRR6113362	3
SRR6113363	3
SRR6113364	3
SRR6113365	3
SRR6113367	3
SRR6113368	3
SRR6113369	0
SRR6113372	0
SRR6113373	0
SRR6113374	0
SRR6113375	0
SRR6113377	3
SRR6113378	3
SRR6113379	3
SRR6113380	3
SRR6113381	3
SRR6113382	3
SRR6113383	3
SRR6113384	3
SRR6113385	3
SRR6113386	3
SRR6113387	3
SRR6113388	3
SRR6113389	3
SRR6113390	3
SRR6113391	3
SRR6113392	3
SRR6113393	3
SRR6113394	3
SRR6113395	3
SRR6113396	3
SRR6113397	3
SRR6113398	3
SRR6113399	3
SRR6113400	3
SRR6113401	3
SRR6113402	3
SRR6113403	3
SRR6113404	3
SRR6113405	3
SRR6113406	3
SRR6113407	3
SRR6113408	3
SRR6113410	3
SRR6113411	3
SRR6113412	3
SRR6113413	3
SRR6113414	3
SRR6113415	3
SRR6113416	3
SRR6113417	3
SRR6113418	3
SRR6113419	3
SRR6113420	3
SRR6113421	3
SRR6113422	3
SRR6113423	3
SRR6113424	3
SRR6113425	3
SRR6113426	3
SRR6113427	3
SRR6113428	3
SRR6113429	3
SRR6113430	3
SRR6113431	3
SRR6113432	3
SRR6113433	1
SRR6113434	1
SRR6113435	1
SRR6113437	1
SRR6113438	1
SRR6113439	1
SRR6113440	1
SRR6113441	5
SRR6113442	5
SRR6113443	5
SRR6113444	5
SRR6113446	5
SRR6113447	5
SRR6113448	5
SRR6113449	3
SRR6113450	3
SRR6113451	3
SRR6113452	3
SRR6113453	3
SRR6113454	3
SRR6113455	3
SRR6113456	3
SRR6113457	0
SRR6113458	0
SRR6113459	0
SRR6113460	0
SRR6113461	0
SRR6113462	0
SRR6113463	0
SRR6113464	0
SRR6113465	5
SRR6113466	5
SRR6113467	5
SRR6113468	5
SRR6113469	5
SRR6113470	5
SRR6113471	5
SRR6113472	5
SRR6113473	5
SRR6113474	5
SRR6113475	5
SRR6113476	5
SRR6113477	5
SRR6113478	5
SRR6113479	5
SRR6113480	5
SRR6113481	5
SRR6113482	5
SRR6113483	5
SRR6113484	5
