sample	cluster
SRR6113731	4
SRR6113732	3
SRR6113733	4
SRR6113734	4
SRR6113735	4
SRR6113736	4
SRR6113737	4
SRR6113738	3
SRR6113739	3
SRR6113740	3
SRR6113741	3
SRR6113742	3
SRR6113743	3
SRR6113744	3
SRR6113745	3
SRR6113746	3
SRR6113748	3
SRR6113749	3
SRR6113750	3
SRR6113751	3
SRR6113752	3
SRR6113753	3
SRR6113754	3
SRR6113755	3
SRR6113756	3
SRR6113757	3
SRR6113758	3
SRR6113759	3
SRR6113760	3
SRR6113761	3
SRR6113762	3
SRR6113763	3
SRR6113764	3
SRR6113765	3
SRR6113766	3
SRR6113767	3
SRR6113768	3
SRR6113769	3
SRR6113770	4
SRR6113772	4
SRR6113773	4
SRR6113774	4
SRR6113776	4
SRR6113777	4
SRR6113778	4
SRR6113779	4
SRR6113780	4
SRR6113782	4
SRR6113783	4
SRR6113784	4
SRR6113785	4
SRR6113786	4
SRR6113787	4
SRR6113788	4
SRR6113790	4
SRR6113792	4
SRR6113793	4
SRR6113794	3
SRR6113795	3
SRR6113796	3
SRR6113797	3
SRR6113798	3
SRR6113799	3
SRR6113800	3
SRR6113801	3
SRR6113803	4
SRR6113804	4
SRR6113805	4
SRR6113806	4
SRR6113807	4
SRR6113810	3
SRR6113811	3
SRR6113812	3
SRR6113813	3
SRR6113815	3
SRR6113816	3
SRR6113817	3
SRR6113818	3
SRR6113819	3
SRR6113820	3
SRR6113822	3
SRR6113824	3
SRR6113825	3
SRR6113826	5
SRR6113827	5
SRR6113828	5
SRR6113829	5
SRR6113830	5
SRR6113831	5
SRR6113832	5
SRR6113833	5
SRR6113834	3
SRR6113835	3
SRR6113836	3
SRR6113837	3
SRR6113838	3
SRR6113839	3
SRR6113840	3
SRR6113841	3
SRR6113842	3
SRR6113843	3
SRR6113844	3
SRR6113845	3
SRR6113846	3
SRR6113847	3
SRR6113848	3
SRR6113849	3
SRR6113850	1
SRR6113851	1
SRR6113852	1
SRR6113853	1
SRR6113854	1
SRR6113855	1
SRR6113856	1
SRR6113857	1
SRR6113858	1
SRR6113859	1
SRR6113861	1
SRR6113862	1
SRR6113863	1
SRR6113864	1
SRR6113865	1
SRR6113866	1
SRR6113867	1
SRR6113868	1
SRR6113869	1
SRR6113870	1
SRR6113871	1
SRR6113872	1
