sample	n_models	n_unique_predictions	entropy	agreement	most_common_prediction	most_common_count	n_models_predict_4	n_models_predict_1	n_models_predict_5	n_models_predict_3	n_models_predict_2	n_models_predict_0
SRR6113770	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113772	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113773	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113774	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113776	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113777	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113778	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113779	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113780	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113782	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113783	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113784	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113785	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113786	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113787	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113788	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113790	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113792	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113793	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113794	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113795	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113796	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113797	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113798	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113799	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113800	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113801	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113803	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113804	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113805	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113806	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113807	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113810	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113811	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113812	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113813	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113815	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113816	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113817	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113818	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113819	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113820	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113822	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113824	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113825	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113826	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113827	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113828	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113829	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113830	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113831	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113832	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113833	3	1	0.0	1.0	3	3	0	0	0	3	0	0
SRR6113834	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113835	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113836	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113837	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113838	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113839	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113840	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113841	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113842	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113843	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113844	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113845	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113846	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113847	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113848	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113849	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113850	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113851	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113852	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113853	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113854	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113855	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113856	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113857	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113858	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113859	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113861	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113862	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113863	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113864	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113865	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113866	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113867	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113868	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113869	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113870	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113871	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113872	3	1	0.0	1.0	2	3	0	0	0	0	3	0
