sample	n_models	n_unique_predictions	entropy	agreement	most_common_prediction	most_common_count	n_models_predict_4	n_models_predict_1	n_models_predict_5	n_models_predict_3	n_models_predict_2	n_models_predict_0
SRR6113456	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113457	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113458	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113459	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113460	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113461	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113462	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113463	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113464	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113465	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113466	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113467	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113468	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113469	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113470	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113471	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113472	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113473	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113474	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113475	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113476	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113477	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113478	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113479	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113480	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113481	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113482	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113483	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113484	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113485	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113486	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113487	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113488	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113489	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113490	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113491	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113492	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113493	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113494	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113495	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113496	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113497	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113498	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113499	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113500	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113501	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113502	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113503	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113504	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113505	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113506	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113507	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113508	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113509	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113510	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113511	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113512	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113513	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113514	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113515	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113516	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113517	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113518	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113519	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113520	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113521	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113522	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113523	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113524	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113525	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113526	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113527	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113528	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113529	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113530	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113531	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113532	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113533	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113534	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113535	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113536	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113537	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113538	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113539	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113540	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113541	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113542	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113543	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113544	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113545	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113546	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113547	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113548	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113549	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113550	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113551	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113552	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113553	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113554	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113555	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113556	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113557	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113558	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113559	3	1	0.0	1.0	0	3	0	0	0	0	0	3
