sample	cluster
SRR6113361	1
SRR6113362	1
SRR6113363	3
SRR6113364	3
SRR6113365	3
SRR6113367	3
SRR6113368	3
SRR6113369	3
SRR6113372	3
SRR6113373	3
SRR6113374	3
SRR6113375	1
SRR6113377	5
SRR6113378	5
SRR6113379	5
SRR6113380	5
SRR6113381	5
SRR6113382	5
SRR6113383	5
SRR6113384	5
SRR6113385	5
SRR6113386	2
SRR6113387	2
SRR6113388	5
SRR6113389	5
SRR6113390	5
SRR6113391	2
SRR6113392	5
SRR6113393	0
SRR6113394	0
SRR6113395	0
SRR6113396	0
SRR6113397	0
SRR6113398	0
SRR6113399	0
SRR6113400	2
SRR6113401	5
SRR6113402	5
SRR6113403	5
SRR6113404	2
SRR6113405	5
SRR6113406	2
SRR6113407	5
SRR6113408	5
SRR6113410	0
SRR6113411	0
SRR6113412	0
SRR6113413	0
SRR6113414	5
SRR6113415	0
SRR6113416	0
SRR6113417	5
SRR6113418	5
SRR6113419	5
SRR6113420	5
SRR6113421	5
SRR6113422	5
SRR6113423	5
SRR6113424	5
SRR6113425	2
SRR6113426	5
SRR6113427	2
SRR6113428	5
SRR6113429	5
SRR6113430	5
SRR6113431	5
SRR6113432	5
SRR6113433	0
SRR6113434	0
SRR6113435	0
SRR6113437	0
SRR6113438	0
SRR6113439	0
SRR6113440	0
SRR6113441	5
SRR6113442	5
SRR6113443	5
SRR6113444	2
SRR6113446	5
SRR6113447	5
SRR6113448	5
SRR6113449	5
SRR6113450	5
SRR6113451	5
SRR6113452	5
SRR6113453	5
SRR6113454	2
SRR6113455	2
SRR6113456	5
SRR6113457	3
SRR6113458	1
SRR6113459	3
SRR6113460	3
SRR6113461	3
SRR6113462	3
SRR6113463	1
SRR6113464	3
SRR6113465	5
SRR6113466	5
SRR6113467	5
SRR6113468	5
SRR6113469	5
SRR6113470	5
SRR6113471	5
SRR6113472	5
SRR6113473	5
SRR6113474	5
SRR6113475	5
SRR6113476	5
SRR6113477	5
SRR6113478	5
SRR6113479	5
SRR6113480	5
SRR6113481	5
SRR6113482	5
SRR6113483	5
SRR6113484	5
SRR6113485	2
SRR6113486	2
SRR6113487	2
SRR6113488	5
SRR6113489	1
SRR6113490	3
SRR6113491	1
SRR6113492	1
SRR6113493	3
SRR6113494	3
SRR6113495	1
SRR6113496	3
SRR6113497	1
SRR6113498	1
SRR6113499	1
SRR6113500	3
SRR6113501	3
SRR6113502	3
SRR6113503	1
SRR6113504	1
SRR6113505	3
SRR6113506	3
SRR6113507	3
SRR6113508	3
SRR6113509	3
SRR6113510	3
SRR6113511	3
SRR6113512	3
SRR6113513	3
SRR6113514	1
SRR6113515	3
SRR6113516	3
SRR6113517	3
SRR6113518	3
SRR6113519	1
SRR6113520	1
SRR6113521	1
SRR6113522	1
SRR6113523	3
SRR6113524	1
SRR6113525	1
SRR6113526	3
SRR6113527	1
SRR6113528	1
SRR6113529	3
SRR6113530	3
SRR6113531	3
SRR6113532	3
SRR6113533	3
SRR6113534	3
SRR6113535	3
SRR6113536	3
SRR6113537	3
SRR6113538	3
SRR6113539	3
SRR6113540	3
SRR6113541	1
SRR6113542	3
SRR6113543	3
SRR6113544	1
SRR6113545	0
SRR6113546	5
SRR6113547	0
SRR6113548	0
SRR6113549	0
SRR6113550	0
SRR6113551	0
SRR6113552	0
SRR6113553	0
SRR6113554	0
SRR6113555	0
SRR6113556	0
SRR6113557	0
SRR6113558	0
SRR6113559	0
SRR6113560	0
SRR6113561	5
SRR6113562	2
SRR6113563	5
SRR6113564	5
SRR6113565	5
SRR6113566	5
SRR6113567	5
SRR6113568	2
SRR6113569	5
SRR6113570	2
SRR6113571	2
SRR6113572	2
SRR6113573	2
SRR6113574	2
SRR6113575	2
SRR6113576	2
SRR6113577	0
SRR6113578	0
SRR6113579	0
SRR6113580	0
SRR6113581	0
SRR6113582	0
SRR6113583	0
SRR6113584	0
SRR6113585	2
SRR6113586	2
SRR6113587	2
SRR6113588	2
SRR6113589	2
SRR6113590	2
SRR6113591	2
SRR6113592	2
SRR6113593	5
SRR6113594	5
SRR6113595	5
SRR6113596	5
SRR6113597	5
SRR6113598	5
SRR6113599	5
SRR6113600	5
SRR6113601	3
SRR6113602	1
SRR6113603	1
SRR6113604	1
SRR6113605	1
SRR6113606	1
SRR6113607	1
SRR6113608	3
SRR6113609	2
SRR6113610	2
SRR6113611	2
SRR6113612	2
SRR6113613	2
SRR6113614	2
SRR6113615	5
SRR6113616	2
SRR6113617	0
SRR6113618	0
SRR6113619	0
SRR6113620	0
SRR6113621	0
SRR6113622	0
SRR6113624	0
SRR6113625	0
SRR6113626	5
SRR6113627	5
SRR6113628	5
SRR6113629	5
SRR6113630	5
SRR6113631	5
SRR6113632	5
SRR6113633	5
SRR6113634	5
SRR6113635	5
SRR6113636	5
SRR6113637	5
SRR6113638	2
SRR6113639	5
SRR6113640	5
SRR6113641	5
SRR6113642	2
SRR6113643	2
SRR6113644	2
SRR6113645	2
SRR6113646	2
SRR6113647	2
SRR6113648	2
