sample	cluster
SRR6113731	4
SRR6113732	3
SRR6113733	3
SRR6113734	1
SRR6113735	1
SRR6113736	1
SRR6113737	1
SRR6113738	3
SRR6113739	4
SRR6113740	4
SRR6113741	4
SRR6113742	3
SRR6113743	3
SRR6113744	3
SRR6113745	3
SRR6113746	4
SRR6113748	3
SRR6113749	4
SRR6113750	1
SRR6113751	1
SRR6113752	1
SRR6113753	1
SRR6113754	4
SRR6113755	4
SRR6113756	4
SRR6113757	4
SRR6113758	1
SRR6113759	1
SRR6113760	1
SRR6113761	1
SRR6113762	3
SRR6113763	3
SRR6113764	3
SRR6113765	3
SRR6113766	1
SRR6113767	1
SRR6113768	1
SRR6113769	1
SRR6113770	4
SRR6113772	3
SRR6113773	4
SRR6113774	1
SRR6113776	1
SRR6113777	1
SRR6113778	4
SRR6113779	4
SRR6113780	4
SRR6113782	1
SRR6113783	1
SRR6113784	1
SRR6113785	1
SRR6113786	4
SRR6113787	4
SRR6113788	4
SRR6113790	1
SRR6113792	1
SRR6113793	1
SRR6113794	3
SRR6113795	3
SRR6113796	3
SRR6113797	3
SRR6113798	1
SRR6113799	1
SRR6113800	1
SRR6113801	1
SRR6113803	3
SRR6113804	3
SRR6113805	3
SRR6113806	1
SRR6113807	1
SRR6113810	4
SRR6113811	4
SRR6113812	3
SRR6113813	4
SRR6113815	1
SRR6113816	1
SRR6113817	1
SRR6113818	4
SRR6113819	3
SRR6113820	4
SRR6113822	1
SRR6113824	1
SRR6113825	1
SRR6113826	4
SRR6113827	3
SRR6113828	4
SRR6113829	4
SRR6113830	4
SRR6113831	4
SRR6113832	4
SRR6113833	4
SRR6113834	3
SRR6113835	3
SRR6113836	3
SRR6113837	3
SRR6113838	1
SRR6113839	1
SRR6113840	1
SRR6113841	1
SRR6113842	4
SRR6113843	4
SRR6113844	3
SRR6113845	4
SRR6113846	4
SRR6113847	4
SRR6113848	4
SRR6113849	4
SRR6113850	0
SRR6113851	0
SRR6113852	0
SRR6113853	2
SRR6113854	0
SRR6113855	0
SRR6113856	0
SRR6113857	2
SRR6113858	2
SRR6113859	0
SRR6113861	0
SRR6113862	2
SRR6113863	0
SRR6113864	0
SRR6113865	0
SRR6113866	0
SRR6113867	0
SRR6113868	0
SRR6113869	2
SRR6113870	2
SRR6113871	0
SRR6113872	0
