sample	cluster
SRR6113361	0
SRR6113362	0
SRR6113363	0
SRR6113364	0
SRR6113365	0
SRR6113367	0
SRR6113368	0
SRR6113369	0
SRR6113372	0
SRR6113373	0
SRR6113374	0
SRR6113375	0
SRR6113377	4
SRR6113378	4
SRR6113379	4
SRR6113380	4
SRR6113381	4
SRR6113382	4
SRR6113383	4
SRR6113384	4
SRR6113385	4
SRR6113386	4
SRR6113387	4
SRR6113388	4
SRR6113389	4
SRR6113390	4
SRR6113391	4
SRR6113392	4
SRR6113393	4
SRR6113394	4
SRR6113395	4
SRR6113396	4
SRR6113397	4
SRR6113398	4
SRR6113399	4
SRR6113400	4
SRR6113401	4
SRR6113402	4
SRR6113403	4
SRR6113404	4
SRR6113405	4
SRR6113406	4
SRR6113407	4
SRR6113408	4
SRR6113410	4
SRR6113411	4
SRR6113412	4
SRR6113413	4
SRR6113414	4
SRR6113415	4
SRR6113416	4
SRR6113417	4
SRR6113418	4
SRR6113419	4
SRR6113420	4
SRR6113421	4
SRR6113422	4
SRR6113423	4
SRR6113424	4
SRR6113425	4
SRR6113426	4
SRR6113427	4
SRR6113428	4
SRR6113429	4
SRR6113430	4
SRR6113431	4
SRR6113432	4
SRR6113433	2
SRR6113434	2
SRR6113435	2
SRR6113437	2
SRR6113438	2
SRR6113439	2
SRR6113440	2
SRR6113441	4
SRR6113442	4
SRR6113443	4
SRR6113444	4
SRR6113446	4
SRR6113447	4
SRR6113448	4
SRR6113449	4
SRR6113450	4
SRR6113451	4
SRR6113452	4
SRR6113453	4
SRR6113454	4
SRR6113455	4
SRR6113456	4
SRR6113457	0
SRR6113458	0
SRR6113459	0
SRR6113460	0
SRR6113461	0
SRR6113462	0
SRR6113463	0
SRR6113464	0
SRR6113465	4
SRR6113466	4
SRR6113467	4
SRR6113468	4
SRR6113469	4
SRR6113470	4
SRR6113471	4
SRR6113472	4
SRR6113473	4
SRR6113474	4
SRR6113475	4
SRR6113476	4
SRR6113477	4
SRR6113478	4
SRR6113479	4
SRR6113480	4
SRR6113481	4
SRR6113482	4
SRR6113483	4
SRR6113484	4
SRR6113485	4
SRR6113486	4
SRR6113487	4
SRR6113488	4
SRR6113489	0
SRR6113490	0
SRR6113491	0
SRR6113492	0
SRR6113493	0
SRR6113494	0
SRR6113495	0
SRR6113496	0
SRR6113497	0
SRR6113498	0
SRR6113499	0
SRR6113500	0
SRR6113501	0
SRR6113502	0
SRR6113503	0
SRR6113504	0
SRR6113505	0
SRR6113506	0
SRR6113507	0
SRR6113508	0
SRR6113509	0
SRR6113510	0
SRR6113511	0
SRR6113512	0
SRR6113513	0
SRR6113514	0
SRR6113515	0
SRR6113516	0
SRR6113517	0
SRR6113518	0
SRR6113519	0
SRR6113520	0
SRR6113521	0
SRR6113522	0
SRR6113523	0
SRR6113524	0
SRR6113525	0
SRR6113526	0
SRR6113527	0
SRR6113528	0
SRR6113529	0
SRR6113530	0
SRR6113531	0
SRR6113532	0
SRR6113533	0
SRR6113534	0
SRR6113535	0
SRR6113536	0
SRR6113537	0
SRR6113538	0
SRR6113539	0
SRR6113540	0
SRR6113541	0
SRR6113542	0
SRR6113543	0
SRR6113544	0
SRR6113545	5
SRR6113546	5
SRR6113547	5
SRR6113548	5
SRR6113549	5
SRR6113550	5
SRR6113551	5
SRR6113552	5
SRR6113553	2
SRR6113554	2
SRR6113555	2
SRR6113556	2
SRR6113557	2
SRR6113558	2
SRR6113559	2
SRR6113560	2
SRR6113561	2
SRR6113562	2
SRR6113563	2
SRR6113564	2
SRR6113565	2
SRR6113566	2
SRR6113567	2
SRR6113568	2
SRR6113569	2
SRR6113570	2
SRR6113571	2
SRR6113572	2
SRR6113573	2
SRR6113574	2
SRR6113575	2
SRR6113576	2
SRR6113577	2
SRR6113578	2
SRR6113579	2
SRR6113580	2
SRR6113581	2
SRR6113582	2
SRR6113583	2
SRR6113584	2
SRR6113585	2
SRR6113586	2
SRR6113587	2
SRR6113588	2
SRR6113589	2
SRR6113590	2
SRR6113591	2
SRR6113592	2
SRR6113593	2
SRR6113594	2
SRR6113595	2
SRR6113596	2
SRR6113597	2
SRR6113598	2
SRR6113599	2
SRR6113600	2
SRR6113601	5
SRR6113602	5
SRR6113603	5
SRR6113604	5
SRR6113605	5
SRR6113606	5
SRR6113607	5
SRR6113608	5
SRR6113609	2
SRR6113610	2
SRR6113611	2
SRR6113612	2
SRR6113613	2
SRR6113614	2
SRR6113615	2
SRR6113616	2
SRR6113617	2
SRR6113618	2
SRR6113619	2
SRR6113620	2
SRR6113621	2
SRR6113622	2
SRR6113624	2
SRR6113625	2
SRR6113626	4
SRR6113627	4
SRR6113628	4
SRR6113629	4
SRR6113630	4
SRR6113631	4
SRR6113632	4
SRR6113633	4
SRR6113634	5
SRR6113635	5
SRR6113636	5
SRR6113637	5
SRR6113638	5
SRR6113639	5
SRR6113640	5
SRR6113641	5
SRR6113642	2
SRR6113643	2
SRR6113644	2
SRR6113645	2
SRR6113646	2
SRR6113647	2
SRR6113648	2
SRR6113649	2
SRR6113650	5
SRR6113651	5
SRR6113652	5
SRR6113653	5
SRR6113654	5
SRR6113655	5
SRR6113656	5
SRR6113657	5
SRR6113658	2
SRR6113659	2
SRR6113660	2
SRR6113661	2
SRR6113662	2
SRR6113663	2
SRR6113664	2
SRR6113665	2
SRR6113666	2
SRR6113667	2
SRR6113668	2
SRR6113669	2
SRR6113670	2
SRR6113671	2
SRR6113672	2
SRR6113673	2
SRR6113674	5
SRR6113675	5
SRR6113677	5
SRR6113678	5
SRR6113679	5
SRR6113680	5
SRR6113681	5
SRR6113682	0
SRR6113683	0
SRR6113684	0
SRR6113685	0
SRR6113687	0
SRR6113688	0
SRR6113689	0
SRR6113690	0
SRR6113691	0
SRR6113692	0
SRR6113693	0
SRR6113694	0
SRR6113695	0
SRR6113696	0
SRR6113697	0
SRR6113699	3
SRR6113701	3
SRR6113703	3
SRR6113704	3
SRR6113705	3
SRR6113708	3
SRR6113709	3
SRR6113710	3
SRR6113711	3
SRR6113712	3
SRR6113714	3
SRR6113715	3
SRR6113716	3
