sample	cluster
SRR6113361	0
SRR6113362	0
SRR6113363	0
SRR6113364	0
SRR6113365	2
SRR6113367	0
SRR6113368	0
SRR6113369	2
SRR6113372	2
SRR6113373	0
SRR6113374	2
SRR6113375	2
SRR6113377	1
SRR6113378	1
SRR6113379	1
SRR6113380	1
SRR6113381	1
SRR6113382	3
SRR6113383	1
SRR6113384	1
SRR6113385	3
SRR6113386	1
SRR6113387	1
SRR6113388	1
SRR6113389	1
SRR6113390	1
SRR6113391	1
SRR6113392	3
SRR6113393	1
SRR6113394	1
SRR6113395	1
SRR6113396	1
SRR6113397	1
SRR6113398	1
SRR6113399	1
SRR6113400	1
SRR6113401	1
SRR6113402	1
SRR6113403	1
SRR6113404	1
SRR6113405	3
SRR6113406	3
SRR6113407	1
SRR6113408	3
SRR6113410	1
SRR6113411	1
SRR6113412	1
SRR6113413	3
SRR6113414	3
SRR6113415	1
SRR6113416	1
SRR6113417	3
SRR6113418	1
SRR6113419	3
SRR6113420	1
SRR6113421	3
SRR6113422	1
SRR6113423	1
SRR6113424	1
SRR6113425	1
SRR6113426	1
SRR6113427	3
SRR6113428	3
SRR6113429	1
SRR6113430	1
SRR6113431	3
SRR6113432	1
SRR6113433	1
SRR6113434	1
SRR6113435	3
SRR6113437	1
SRR6113438	3
SRR6113439	3
SRR6113440	3
SRR6113441	1
SRR6113442	3
SRR6113443	3
SRR6113444	3
SRR6113446	3
SRR6113447	3
SRR6113448	3
SRR6113449	1
SRR6113450	3
SRR6113451	3
SRR6113452	3
SRR6113453	3
SRR6113454	3
SRR6113455	3
SRR6113456	3
SRR6113457	2
SRR6113458	0
SRR6113459	2
SRR6113460	2
SRR6113461	0
SRR6113462	2
SRR6113463	2
SRR6113464	2
SRR6113465	3
SRR6113466	1
SRR6113467	1
SRR6113468	1
SRR6113469	1
SRR6113470	3
SRR6113471	1
SRR6113472	1
SRR6113473	1
SRR6113474	1
SRR6113475	1
SRR6113476	1
SRR6113477	1
SRR6113478	3
SRR6113479	1
SRR6113480	3
SRR6113481	3
SRR6113482	3
SRR6113483	3
SRR6113484	3
SRR6113485	3
SRR6113486	3
SRR6113487	3
SRR6113488	3
SRR6113489	0
SRR6113490	0
SRR6113491	0
SRR6113492	2
SRR6113493	0
SRR6113494	0
SRR6113495	2
SRR6113496	0
SRR6113497	2
SRR6113498	2
SRR6113499	2
SRR6113500	2
SRR6113501	0
SRR6113502	0
SRR6113503	2
SRR6113504	2
SRR6113505	0
SRR6113506	0
SRR6113507	0
SRR6113508	0
SRR6113509	0
SRR6113510	0
SRR6113511	0
SRR6113512	0
SRR6113513	0
SRR6113514	0
SRR6113515	0
SRR6113516	0
SRR6113517	0
SRR6113518	0
SRR6113519	0
SRR6113520	2
SRR6113521	2
SRR6113522	2
SRR6113523	0
SRR6113524	0
SRR6113525	2
SRR6113526	0
SRR6113527	2
SRR6113528	2
SRR6113529	0
SRR6113530	0
SRR6113531	2
SRR6113532	0
SRR6113533	0
SRR6113534	0
SRR6113535	2
SRR6113536	0
SRR6113537	0
SRR6113538	0
SRR6113539	0
SRR6113540	0
SRR6113541	0
SRR6113542	0
SRR6113543	0
SRR6113544	2
SRR6113545	3
SRR6113546	3
SRR6113547	3
SRR6113548	1
SRR6113549	3
SRR6113550	3
SRR6113551	3
SRR6113552	3
SRR6113553	1
SRR6113554	1
SRR6113555	1
SRR6113556	1
SRR6113557	1
SRR6113558	1
SRR6113559	3
SRR6113560	1
SRR6113561	3
SRR6113562	1
SRR6113563	3
SRR6113564	1
SRR6113565	1
SRR6113566	3
SRR6113567	3
SRR6113568	3
SRR6113569	1
SRR6113570	1
SRR6113571	1
SRR6113572	1
SRR6113573	3
SRR6113574	1
SRR6113575	3
SRR6113576	3
SRR6113577	3
SRR6113578	1
SRR6113579	3
SRR6113580	3
SRR6113581	1
SRR6113582	1
SRR6113583	1
SRR6113584	3
SRR6113585	1
SRR6113586	1
SRR6113587	1
SRR6113588	1
SRR6113589	1
SRR6113590	1
SRR6113591	1
SRR6113592	1
SRR6113593	1
SRR6113594	1
SRR6113595	3
SRR6113596	3
SRR6113597	1
SRR6113598	1
SRR6113599	1
SRR6113600	1
SRR6113601	0
SRR6113602	2
SRR6113603	2
SRR6113604	0
SRR6113605	2
SRR6113606	2
SRR6113607	2
SRR6113608	0
SRR6113609	1
SRR6113610	1
SRR6113611	1
SRR6113612	1
SRR6113613	1
SRR6113614	1
SRR6113615	1
SRR6113616	1
SRR6113617	1
SRR6113618	1
SRR6113619	1
SRR6113620	1
SRR6113621	3
SRR6113622	1
SRR6113624	1
SRR6113625	3
SRR6113626	1
SRR6113627	1
SRR6113628	1
SRR6113629	1
SRR6113630	1
SRR6113631	1
SRR6113632	1
SRR6113633	1
SRR6113634	1
SRR6113635	1
SRR6113636	1
SRR6113637	1
SRR6113638	1
SRR6113639	1
SRR6113640	1
SRR6113641	1
SRR6113642	4
SRR6113643	4
SRR6113644	4
SRR6113645	4
SRR6113646	4
SRR6113647	4
SRR6113648	4
SRR6113649	4
SRR6113650	1
SRR6113651	1
SRR6113652	1
SRR6113653	1
SRR6113654	1
SRR6113655	1
SRR6113656	1
SRR6113657	1
SRR6113658	1
SRR6113659	1
SRR6113660	1
SRR6113661	1
SRR6113662	1
SRR6113663	1
SRR6113664	1
SRR6113665	1
SRR6113666	1
SRR6113667	3
SRR6113668	3
SRR6113669	3
SRR6113670	3
SRR6113671	3
SRR6113672	3
SRR6113673	1
SRR6113674	1
SRR6113675	3
SRR6113677	1
SRR6113678	1
SRR6113679	1
SRR6113680	1
SRR6113681	3
SRR6113682	0
SRR6113683	0
SRR6113684	0
SRR6113685	0
SRR6113687	0
SRR6113688	2
SRR6113689	0
SRR6113690	2
SRR6113691	0
SRR6113692	0
SRR6113693	0
SRR6113694	0
SRR6113695	0
SRR6113696	0
SRR6113697	2
SRR6113699	0
SRR6113701	2
SRR6113703	5
SRR6113704	5
SRR6113705	5
SRR6113708	0
SRR6113709	0
SRR6113710	5
SRR6113711	5
SRR6113712	5
SRR6113714	2
SRR6113715	2
SRR6113716	2
